[LOG] System::create                           : Header version = 2.02.20. Current version = 2.02.20.
[LOG] Manager::init                            : maxchannels = 256 studioflags = 00000006 flags 00000000 extradriverdata 0000000000000000.
[LOG] Manager::init                            : maxchannels = 256 studioflags = 00000006 flags 00000000 extradriverdata 0000000000000000.
[LOG] SystemI::init                            : Initialize version=20220 (139317), maxchannels=256, flags=0x00020000
[LOG] SystemI::setOutputInternal               : Setting output to 'FMOD WASAPI Output'
[LOG] OutputWASAPI::init                       : Mix Format (WAVEFORMATEX): wFormatTag=0xFFFE, nChannels=2, nSamplesPerSec=48000, nAvgBytesPerSec=384000, nBlockAlign=8, wBitsPerSample=32, cbSize=22.
[LOG] OutputWASAPI::init                       : Mix Format (WAVEFORMATEXTENSIBLE): wValidBitsPerSample=32, dwChannelMask=0x00000003, SubFormat=00000003-0000-0010-8000-00AA00389B71.
[LOG] OutputWASAPI::init                       : Output buffer size: 4096 samples, latency: 0.00ms, period: 10.00ms, DSP buffer: 1024 * 4
[LOG] SystemI::setOutputInternal               : Setting output to 'FMOD WASAPI Output'
[LOG] OutputWASAPI::init                       : Mix Format (WAVEFORMATEX): wFormatTag=0xFFFE, nChannels=2, nSamplesPerSec=48000, nAvgBytesPerSec=384000, nBlockAlign=8, wBitsPerSample=32, cbSize=22.
[LOG] OutputWASAPI::init                       : Mix Format (WAVEFORMATEXTENSIBLE): wValidBitsPerSample=32, dwChannelMask=0x00000003, SubFormat=00000003-0000-0010-8000-00AA00389B71.
[LOG] OutputWASAPI::init                       : Output buffer size: 4096 samples, latency: 0.00ms, period: 10.00ms, DSP buffer: 1024 * 4
[LOG] Thread::initThread                       : Init FMOD stream thread. Affinity: 0x4000000000000003, Priority: 0xFFFF7FFB, Stack Size: 98304, Semaphore: No, Sleep Time: 10, Looping: Yes.
[LOG] Thread::initThread                       : Init FMOD mixer thread. Affinity: 0x4000000000000001, Priority: 0xFFFF7FFA, Stack Size: 81920, Semaphore: No, Sleep Time: 0, Looping: Yes.
[LOG] AsyncManager::init                       : manager 000001BA33B025F8 isAsync 0 updatePeriod 0.02
[LOG] Thread::initThread                       : Init FMOD mixer thread. Affinity: 0x4000000000000001, Priority: 0xFFFF7FFA, Stack Size: 81920, Semaphore: No, Sleep Time: 0, Looping: Yes.
[LOG] AsyncManager::init                       : manager 0000023CEC179BC8 isAsync 0 updatePeriod 0.02
[LOG] AsyncManager::init                       : done
[LOG] PlaybackSystem::init                     : 
[LOG] Thread::initThread                       : Init FMOD Studio sample load thread. Affinity: 0x4000000000000003, Priority: 0xFFFF7FFD, Stack Size: 98304, Semaphore: No, Sleep Time: 1, Looping: No.
[LOG] PlaybackSystem::init                     : done
[LOG] Thread::initThread                       : Init FMOD Studio bank load thread. Affinity: 0x4000000000000003, Priority: 0xFFFF7FFD, Stack Size: 98304, Semaphore: No, Sleep Time: 1, Looping: No.
[LOG] Manager::init                            : done.
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] PlaybackSystem::acquireMasterBus         : Setting master channel group format to 3
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] SystemI::createSoundInternal             : Create name='', mode=0x02000202
[LOG] SystemI::createSoundInternal             : exinfo->cbsize             = 224
[LOG] SystemI::createSoundInternal             : exinfo->length             = 4021504
[LOG] SystemI::createSoundInternal             : exinfo->fileoffset         = 212768
[LOG] SystemI::createSoundInternal             : exinfo->numsubsounds       = 1
[LOG] SystemI::createSoundInternal             : exinfo->inclusionlist      = 0000008DED42F4C8
[LOG] SystemI::createSoundInternal             : exinfo->inclusionlistnum   = 1
[LOG] SystemI::createSoundInternal             : exinfo->suggestedsoundtype = 5
[LOG] SystemI::createSoundInternal             : exinfo->useropen           = 00007FF9394F3F70
[LOG] SystemI::createSoundInternal             : exinfo->userclose          = 00007FF9394F3F30
[LOG] SystemI::createSoundInternal             : exinfo->userread           = 00007FF9394F4050
[LOG] SystemI::createSoundInternal             : exinfo->userseek           = 00007FF9394F4110
[LOG] SystemI::createSoundInternal             : exinfo->fileuserdata       = 0000023CCB064AE8
[LOG] SystemI::createSoundInternal             : exinfo->initialseekpostype = 1
[LOG] SystemI::DSPCodecPoolRegister            : register codec pool for pool type 5
[LOG] SystemI::createSoundInternal             : Sample 0/1: name='질주_T', format=5, channels=2, frequency=44100, lengthbytes=11808, lengthpcm=176400, pcmblocksize=0, loopstart=0, loopend=0, mode=0x00000000, channelmask=0x00000000, channelorder=0, peakvolume=0.488599.
[WRN] FMOD_OS_Net_Listen                       : Cannot listen for connections, port 9264 is currently in use.
[LOG] SoundI::release                          :  (0000023AD6EC0D58)
[LOG] SoundI::release                          :     질주_T (0000023BE4EC3738)
[LOG] AsyncThread::add                         : add sound to async queue : soundi = 0000023886668C68, queue head = 0000023CA8B78ED8, queue count = 0
[LOG] AsyncThread::threadFunc                  : Starting Asynchronous operation on sound 0000023886668C68
[LOG] AsyncThread::threadFunc                  : Finished Asynchronous operation on sound 0000023886668C68
[LOG] SoundI::release                          :  (0000023C73EC09C8)
[LOG] SoundI::release                          :     ElderOne_DustAfterAttackOnGround_TypeA (0000023CCAF2C998)
[LOG] SoundI::release                          :  (0000023CEB6DD0E8)
[LOG] SoundI::release                          :     ElderOne_DustAfterAttackOnGround_TypeB (0000023CCAF286F8)
[LOG] SoundI::release                          :  (0000023B0A328588)
[LOG] SoundI::release                          :     ElderOne_DoubleHandAttack_PunchA (0000023CCAF1C598)
[LOG] SoundI::release                          :  (0000023B0A329278)
[LOG] SoundI::release                          :     ElderOne_DoubleHandAttack_PunchB (0000023CCAF493D8)
[LOG] SoundI::release                          :  (0000023CEB6DD818)
[LOG] SoundI::release                          :     ElderOne_NormalAttack_PunchA (0000023CCAF2AF98)
[LOG] SoundI::release                          :  (0000023CEB6DD988)
[LOG] SoundI::release                          :     ElderOne_NormalAttack_PunchB (0000023CCAF22BF8)
[LOG] SoundI::release                          :  (0000023AB333B5A8)
[LOG] SoundI::release                          :     ElderOne_NormalAttack_WhooshA (0000023BE4EBDA98)
[LOG] SoundI::release                          :  (0000023C74415CB8)
[LOG] SoundI::release                          :     ElderOne_NormalAttack_WhooshB (0000023CCAF4E6B8)
[LOG] SoundI::release                          :  (0000023B0A328F98)
[LOG] SoundI::release                          :     ElderOne_Death_UI (0000023CCAF49BF8)
[LOG] SoundI::release                          :  (00000238833856B8)
[LOG] SoundI::release                          :     ElderOne_Death (0000023CCAF223D8)
[LOG] SoundI::release                          :  (0000023AD6E000A8)
[LOG] SoundI::release                          :     ElderOne_Moving_FootstepA (0000023BE4EBE2B8)
[LOG] SoundI::release                          :  (0000023CA8868538)
[LOG] SoundI::release                          :     ElderOne_Moving_FootstepA_2 (0000023CCAF2E1F8)
